,video_link,views,uploaded_date,likes,dislikes,comment
0,https://www.youtube.com/watch?v=NfdUeHO-dJo,"21,528",4 Aug 2020,2477,216,"हाहाहा लाल कृष्ण आडवाणी, मुरली मनोहर जोशी।"
1,https://www.youtube.com/watch?v=vHwVs8nyWow,489,4 Aug 2020,45,15,"5   AUGUST 

Black Day for Indian Democracy"
2,https://www.youtube.com/watch?v=9UIP8zDiGX8,"1,218",4 Aug 2020,145,30,Shameless.  not able to express his frustration. He is totally neglected.
3,https://www.youtube.com/watch?v=2Kk_LbPJxJY,"51,883",3 Aug 2020,920,68,Masjid ki jagah zabardast ram mandir banane se kya ram khus ho to
